countryIsoCode,country,year,value
LBN,Lebanon,2019,0.386
LBR,Liberia,2010,0.66
LBR,Liberia,2019,0.653
LBY,Libya,2010,0.286
LBY,Libya,2019,0.269
LCA,Saint Lucia,2010,0.363
LCA,Saint Lucia,2019,0.355
LKA,Sri Lanka,2010,0.415
LKA,Sri Lanka,2019,0.369
LSO,Lesotho,2010,0.59
LSO,Lesotho,2019,0.57
LTU,Lithuania,2010,0.149
LTU,Lithuania,2019,0.122
LUX,Luxembourg,2010,0.11
LUX,Luxembourg,2019,0.059
LVA,Latvia,2010,0.229
LVA,Latvia,2019,0.166
MAR,Morocco,2010,0.549
MAR,Morocco,2019,0.448
MDA,Moldova (Republic of),2010,0.24
MDA,Moldova (Republic of),2019,0.185
MDG,Madagascar,2010,0.607
MDG,Madagascar,2019,0.575
MDV,Maldives,2010,0.402
MDV,Maldives,2019,0.336
MEX,Mexico,2010,0.417
MEX,Mexico,2019,0.36
MKD,North Macedonia,2010,0.172
MKD,North Macedonia,2019,0.134
MLI,Mali,2010,0.667
MLI,Mali,2019,0.659
MLT,Malta,2010,0.264
MLT,Malta,2019,0.162
MMR,Myanmar,2019,0.497
MNE,Montenegro,2010,0.21
MNE,Montenegro,2019,0.118
MNG,Mongolia,2010,0.415
MNG,Mongolia,2019,0.311
MOZ,Mozambique,2010,0.542
MOZ,Mozambique,2019,0.495
MRT,Mauritania,2010,0.638
MRT,Mauritania,2019,0.602
MUS,Mauritius,2010,0.373
MUS,Mauritius,2019,0.328
MWI,Malawi,2010,0.612
MWI,Malawi,2019,0.579
MYS,Malaysia,2010,0.264
MYS,Malaysia,2019,0.201
NAM,Namibia,2010,0.538
NAM,Namibia,2019,0.454
NER,Niger,2010,0.692
NER,Niger,2019,0.626
NGA,Nigeria,2010,0.67
NGA,Nigeria,2019,0.694
NIC,Nicaragua,2010,0.47
NIC,Nicaragua,2019,0.408
NLD,Netherlands,2010,0.052
NLD,Netherlands,2019,0.028
NOR,Norway,2010,0.07
NOR,Norway,2019,0.016
NPL,Nepal,2010,0.527
NPL,Nepal,2019,0.502
NZL,New Zealand,2010,0.166
NZL,New Zealand,2019,0.1
OMN,Oman,2010,0.34
OMN,Oman,2019,0.261
PAK,Pakistan,2010,0.593
PAK,Pakistan,2019,0.542
PAN,Panama,2010,0.483
PAN,Panama,2019,0.395
PER,Peru,2010,0.401
PER,Peru,2019,0.383
PHL,Philippines,2010,0.443
PHL,Philippines,2019,0.392
PNG,Papua New Guinea,2010,0.682
PNG,Papua New Guinea,2019,0.816
POL,Poland,2010,0.171
POL,Poland,2019,0.111
PRT,Portugal,2010,0.127
PRT,Portugal,2019,0.078
PRY,Paraguay,2010,0.484
